CustomerID,Genre,Age,X,Y,,primary_category
1,,,-0.522736136,-0.300734034,, Email
2,,,-0.371077032,-0.517600798,, Email
3,,,-0.667281895,0.150053631,, Email
4,,,-0.048845926,-0.416419432,, Email
5,,,-0.601972301,0.47723595,, Email
6,,,0.108129257,-0.055888708,, Email
7,,,0.495760909,0.421555926,, Email
8,,,-0.040195865,-0.331346304,, Email
9,,,0.144995666,-0.242007404,, Email
10,,,-0.415598153,-0.439545278,, Email
11,,,0.048287256,0.716183219,, Email
12,,,-0.433959155,-0.149981171,, Email
13,,,0.057616514,0.325487438,, Email
14,,,0.251990447,-0.591121354,, Email
15,,,0.578901871,-0.414795545,, Email
16,,,-0.03110653,-0.102842084,, Email
17,,,-0.069560402,-0.13848035,, Email
18,,,0.048933846,0.685756497,, Email
19,,,0.707007772,-0.276898683,, Email
20,,,-0.340812689,0.586441356,, Email
21,,,-0.578479525,0.247590312,, Email
22,,,-0.022837955,-0.060482681,, Email
23,,,-0.072494225,0.120668564,, Email
24,,,0.343162107,-0.341049675,, Email
25,,,-0.326593007,-0.143013788,, Email
26,,,-0.304483765,-0.196617701,, Email
27,,,0.106529152,-0.038370556,, Email
28,,,0.110389873,-0.339919524,, Email
29,,,-0.395160975,0.441791226,, Email
30,,,0.108391068,0.523420111,, Email
31,,,-0.082440849,0.566898071,, Email
32,,,0.15356538,-0.093781704,, Email
33,,,0.170959108,0.721633258,, Email
34,,,-0.035747453,0.007891106,, Email
35,,,-0.171934917,-0.585262502,, Email
36,,,-0.229594917,-0.429103815,, Email
37,,,0.283401949,0.421149439,, Email
38,,,0.161283187,-0.50398961,, Email
39,,,-0.099073012,-0.599545188,, Email
40,,,-0.280317564,-0.546939246,, Email
41,,,0.17694365,0.513988827,, Email
42,,,-0.280441501,-0.546857791,, Email
43,,,-0.359202791,-0.494152445,, Email
44,,,-0.258992674,0.498278676,, Email
45,,,-0.3591908,-0.494162176,, Email
46,,,-0.650650137,-0.30177835,, Email
47,,,0.332018361,-0.084835685,, Email
48,,,0.430366812,-0.532955047,, Email
